sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795840| 340
server  |Thu Mar 09 2017 21:53:19 GMT+0100 (CET)|1489092799495| Sensor11SendOk
server  |Thu Mar 09 2017 21:53:20 GMT+0100 (CET)|1489092800348| 2402|4864|340|323|11
sensor11|Thu Mar 09 2017 21:53:20 GMT+0100 (CET)|1489092800348| Sending data to server
sensor11|Thu Mar 09 2017 21:53:21 GMT+0100 (CET)|1489092801378| SendOk
sensor11|Thu Mar 09 2017 21:53:21 GMT+0100 (CET)|1489092801378| 
sensor11|Thu Mar 09 2017 21:53:35 GMT+0100 (CET)|1489092815847| wakeUp
server  |Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830485| Sensor11StartSending
server  |Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830488| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830495| got data from server
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830503| start-s11
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830503| got start command
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830508| reset BME280
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830518| got data from BME280
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830518| 2407
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830524| 4868
sensor11|Thu Mar 09 2017 21:53:50 GMT+0100 (CET)|1489092830524| 333
server  |Thu Mar 09 2017 21:53:54 GMT+0100 (CET)|1489092834214| Sensor11SendOk
server  |Thu Mar 09 2017 21:53:55 GMT+0100 (CET)|1489092835031| 2407|4868|333|323|11
sensor11|Thu Mar 09 2017 21:53:55 GMT+0100 (CET)|1489092835032| Sending data to server
sensor11|Thu Mar 09 2017 21:53:56 GMT+0100 (CET)|1489092836237| SendOk
sensor11|Thu Mar 09 2017 21:53:56 GMT+0100 (CET)|1489092836237| 
sensor11|Thu Mar 09 2017 21:54:10 GMT+0100 (CET)|1489092850465| wakeUp
server  |Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865169| Sensor11StartSending
server  |Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865172| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865178| got data from server
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865187| start-s11
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865187| got start command
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865191| reset BME280
